CLASS,CODE, URL,CRN,TYPE,SECTION,TIME,DAY,LOCATION,INSTRUCTOR
ENGH397,ENGH,https://courses.illinois.edu/schedule/2020/spring/ENGH/397,29648,Independent Study,,ARRANGED,n.a,n.a,
ENGL101,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/101,40747,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,150 English Building,"Pacheco, H"
ENGL103,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/103,34534,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,150 English Building,"Plasencia, S"
ENGL104,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/104,34551,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,104 English Building,"Claborn, J"
ENGL104,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/104,34547,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,148 Armory,"Slobodnik, S"
ENGL104,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/104,34541,Lecture-Discussion,M,09:30AM - 10:45AM,MW,148 Armory,"Capino, J"
ENGL104,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/104,34539,Lecture-Discussion,P,11:00AM - 12:15PM,TR,148 Armory,"Newcomb, J"
ENGL109,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/109,34580,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,131 English Building,"Hossain, M"
ENGL109,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/109,34586,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,131 English Building,"Emmert, K"
ENGL109,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/109,47237,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,119 English Building,"Williams, K"
ENGL109,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/109,31925,Lecture-Discussion,L,08:00AM - 09:15AM,TR,131 English Building,"Lee, S"
ENGL109,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/109,31922,Lecture-Discussion,S,02:00PM - 03:15PM,TR,127 English Building,"Merrill, A"
ENGL109,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/109,51857,Lecture-Discussion,T,03:30PM - 04:45PM,TR,127 English Building,"Ricketts, S"
ENGL112,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/112,44695,Lecture-Discussion,G,03:00PM - 03:50PM,MWF,104 English Building,"Soto Crespo, R"
ENGL115,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/115,68287,Lecture,X,12:00PM - 12:50PM,MWF,150 English Building,"Valentine, S"
ENGL116,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/116,31935,Lecture-Discussion,C,10:00AM - 10:50AM,MWF,104 English Building,"DeVries, B"
ENGL117,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/117,70311,Lecture-DiscussionLecture-Discussion,FF,02:00PM - 03:50PM140002:00PM - 04:50PM,WM,131 English Building131 English Building,"Stevens, AStevens, A"
ENGL119,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/119,47149,Lecture-Discussion,P,11:00AM - 12:15PM,TR,131 English Building,"Baron, I"
ENGL120,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/120,31939,Lecture-Discussion,B,09:00AM - 09:50AM,MWF,119 English Building,"Underwood, W"
ENGL121,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/121,62333,Lecture-Discussion,E,01:00PM - 01:50PM,MWF,104 English Building,"Barrett, R"
ENGL199,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/199,10065,Independent Study,,ARRANGED,n.a,n.a,
ENGL199,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/199,57256,Lecture-Discussion,CHP,11:00AM - 11:50AM,MWF,212 1205 W Oregon,"Stevens, A"
ENGL199,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/199,53975,Lecture-Discussion,E,01:00PM - 01:50PM,MWF,115 English Building,"Hapke, G"
ENGL199,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/199,58392,Online,X,12:00PM - 01:15PM,MW,n.a,
ENGL200,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/200,39032,Lecture-Discussion,H,04:00PM - 04:50PM,MWF,104 English Building,"Soto Crespo, R"
ENGL200,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/200,34519,Lecture-Discussion,M,03:30PM - 04:45PM,MW,115 English Building,"Pollock, A"
ENGL200,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/200,60132,Lecture-Discussion,Q,12:30PM - 01:45PM,TR,127 English Building,"Jones, J"
ENGL202,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/202,43183,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,119 English Building,"Matresse, E"
