CODE, URL,,,CODE, URL,CRN,Type,Section,Time,Day,Location,Instructor
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/300,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/201,51202,Lecture,AL3,153003:30PM - 04:50PM,TR,2001 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/310,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30147,Discussion/ Recitation,AD1,090009:00AM - 09:50AM,F,2063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/335,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30121,Discussion/ Recitation,ADA,080008:00AM - 08:50AM,F,2011 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/341,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30123,Discussion/ Recitation,ADC,090009:00AM - 09:50AM,F,3009 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/360,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30134,Discussion/ Recitation,ADE,100010:00AM - 10:50AM,F,3001 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/396,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30138,Discussion/ Recitation,ADF,110011:00AM - 11:50AM,F,3001 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/398,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30140,Discussion/ Recitation,ADG,090009:00AM - 09:50AM,F,3063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/403,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30143,Discussion/ Recitation,ADH,090009:00AM - 09:50AM,F,2057 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/410,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30151,Discussion/ Recitation,ADJ,120012:00PM - 12:50PM,F,2011 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/427,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30159,Discussion/ Recitation,ADL,120012:00PM - 12:50PM,F,3057 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/428,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30161,Discussion/ Recitation,ADM,120012:00PM - 12:50PM,F,3063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/430,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30168,Discussion/ Recitation,ADO,130001:00PM - 01:50PM,F,3057 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/431,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30171,Discussion/ Recitation,ADP,130001:00PM - 01:50PM,F,3063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/435,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30176,Discussion/ Recitation,ADQ,130001:00PM - 01:50PM,F,2011 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/436,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30179,Discussion/ Recitation,ADR,140002:00PM - 02:50PM,F,2011 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/440,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30182,Discussion/ Recitation,ADS,140002:00PM - 02:50PM,F,3057 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/444,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30186,Discussion/ Recitation,ADT,140002:00PM - 02:50PM,F,3063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/446,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30119,Lecture,AL1,110011:00AM - 12:20PM,TR,141 Wohlers Hall,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/449,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,30120,Lecture,AL2,080008:00AM - 09:20AM,TR,1001 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/451,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/202,69229,Lecture,AL3,140002:00PM - 03:20PM,TR,3057 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/474,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/290,47685,Conference,O,0000ARRANGED,n.a,n.a,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/476,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/301,30192,Lecture-Discussion,AE1,080008:00AM - 09:20AM,MW,2001 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/496,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/301,30195,Lecture-Discussion,AE2,123012:30PM - 01:50PM,MW,3003 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/499,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/301,30197,Lecture-Discussion,AE3,140002:00PM - 03:20PM,MW,3003 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/502,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/301,30200,Lecture-Discussion,AE4,140002:00PM - 03:20PM,MW,3063 Business Instructional Fac,
ACE,https://courses.illinois.edu/schedule/2020/spring/ACE/503,,,ACCY,https://courses.illinois.edu/schedule/2020/spring/ACCY/301,30201,Lecture-Discussion,AE5,093009:30AM - 10:50AM,MW,2063 Business Instructional Fac,
